City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
72,Esperance,AU,64.4,light rain,-33.87,121.9,Hospitality Esperance
73,Ilulissat,GL,19.4,overcast clouds,69.22,-51.1,Hotel Arctic
74,Port Alfred,ZA,66.87,clear sky,-33.59,26.89,The Halyards Hotel
75,Lata,PT,64.0,broken clouds,40.16,-8.33,Casa Maquia
76,Loubomo,CG,71.38,overcast clouds,-4.2,12.67,La Dolisienne
77,Yar-Sale,RU,23.14,scattered clouds,66.83,70.83,Yalemd
78,Upernavik,GL,16.48,overcast clouds,72.79,-56.15,Gina's Guesthouse - Upernavik
79,Arraial Do Cabo,BR,67.77,clear sky,-22.97,-42.03,Pousada Porto Praia
80,Raga,SS,74.03,overcast clouds,8.46,25.68,
81,Codrington,AU,74.68,scattered clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
83,Ostrovnoy,RU,38.01,overcast clouds,68.05,39.51,
84,Lundazi,ZM,72.91,scattered clouds,-12.29,33.18,Country 24 Lodge
85,Sorland,NO,50.0,light rain,67.67,12.69,Sjybrygga fiskecamp
87,Palmer,US,42.8,overcast clouds,42.16,-72.33,Wedgewood Motel
88,Ribeira Grande,PT,62.64,few clouds,38.52,-28.7,Quinta da Meia Eira
89,Talnakh,RU,21.2,broken clouds,69.49,88.4,Talnakh Hotel
90,Nalut,LY,55.24,clear sky,30.33,10.85,
91,Linkoping,SE,54.0,light rain,58.41,15.62,Best Western Hotel Linkoping
92,Thompson,CA,21.2,broken clouds,55.74,-97.86,Burntwood Hotel
93,Ancud,CL,46.99,scattered clouds,-41.87,-73.82,Hotel Arena Gruesa
94,Dudinka,RU,21.2,broken clouds,69.41,86.18,Hotel Viktoria
95,Alamosa,US,33.8,clear sky,37.47,-105.87,Best Western Alamosa Inn
96,Claremore,US,43.0,haze,36.31,-95.62,Super 8 by Wyndham Claremore OK
97,Bethel,US,42.8,light rain,41.37,-73.41,Courtyard by Marriott Danbury
98,Marystown,CA,46.99,overcast clouds,47.17,-55.15,Marystown Hotel & Convention Centre
99,Los Llanos De Aridane,ES,71.6,clear sky,28.66,-17.92,Valle Aridane
102,Hamilton,US,36.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
103,Nouadhibou,MR,73.4,clear sky,20.93,-17.03,El Medina
104,High Level,CA,21.2,overcast clouds,58.52,-117.14,Days Inn by Wyndham High Level
105,Provideniya,RU,23.0,scattered clouds,64.38,-173.3,
106,Dikson,RU,16.72,overcast clouds,73.51,80.55,
107,Muros,ES,66.99,overcast clouds,42.78,-9.06,Apartment Av. Castelao
108,Escanaba,US,27.0,clear sky,45.75,-87.06,Sunset Lodge
109,Esna,EG,68.0,clear sky,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
110,Cavalcante,BR,67.41,light rain,-13.8,-47.46,Pousada Vila dos Ipês
112,Pontes E Lacerda,BR,71.67,overcast clouds,-15.23,-59.34,Hotel Bressan
